student_id,name,department,year,gender,cgpa,semester,attendance_percentage,company,placement_status,package_lpa,department_name,hod
S0053,Midhun Reddy,ECE,2,Female,6.72,S6,82.4,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0054,Arun Sharma,CSE,4,Male,8.12,S6,75.8,,Not Placed,0.0,Computer Science and Engineering,Dr. Suresh Nair
S0055,Anu Thomas,ECE,4,Male,6.45,S1,75.3,,Not Placed,0.0,Electronics and Communication Engineering,Dr. Priya Menon
S0056,Adithya Joseph,CE,2,Female,8.54,S7,84.4,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0057,Adithya Kumar,ECE,3,Male,9.73,S3,95.1,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0058,Diya Menon,ME,3,Male,7.7,S6,83.6,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0059,Rohan Reddy,ME,1,Male,7.47,S3,66.5,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0060,Midhun Joseph,ME,4,Male,7.29,S6,78.8,,Not Placed,0.0,Mechanical Engineering,Dr. Manoj Thomas
S0061,Harish Pillai,ME,2,Male,8.18,S5,100.0,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0062,Neha Nair,CE,4,Female,7.95,S1,67.6,TCS,Placed,8.62,Civil Engineering,Dr. Anil Joseph
S0063,Sreeram Nair,EEE,2,Male,8.4,S6,84.3,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0064,Sreeram Sharma,IT,4,Female,7.35,S5,87.6,Wipro,Placed,8.97,Information Technology,Dr. Deepa Sharma
S0065,Joel Nair,CSE,2,Female,8.22,S8,86.3,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0066,Athira Thomas,ME,1,Male,7.12,S4,82.0,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0067,Midhun Sharma,ECE,4,Male,6.85,S5,52.6,,Not Placed,0.0,Electronics and Communication Engineering,Dr. Priya Menon
S0068,Aiswarya Das,ME,1,Male,7.52,S2,84.0,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0069,Abhinav Nair,ECE,2,Female,6.96,S6,67.9,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0070,Nikhil Sharma,IT,4,Male,8.79,S5,90.3,UST,Placed,6.78,Information Technology,Dr. Deepa Sharma
S0071,Anjali Nair,IT,4,Female,7.16,S3,75.9,,Not Placed,0.0,Information Technology,Dr. Deepa Sharma
S0072,Nandana Kumar,IT,3,Male,8.14,S4,100.0,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0073,Athira Pillai,ECE,3,Male,7.22,S7,81.5,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0074,Akhil Joseph,ME,2,Male,7.77,S6,79.4,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0075,Sneha Thomas,IT,2,Male,7.43,S2,64.4,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0076,Sneha Nair,CE,2,Female,6.49,S7,72.5,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0077,Arun Sharma,ECE,3,Female,8.09,S5,90.0,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0078,Athira Reddy,ECE,3,Male,7.51,S7,77.8,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0079,Neha Reddy,ME,4,Female,7.78,S7,75.9,EY,Placed,6.05,Mechanical Engineering,Dr. Manoj Thomas
S0080,Harish Nair,ECE,4,Male,7.36,S4,72.4,TCS,Placed,6.92,Electronics and Communication Engineering,Dr. Priya Menon
S0081,Diya Reddy,ECE,1,Female,6.64,S8,77.3,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0082,Anjali Pillai,IT,2,Female,8.72,S7,93.9,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0083,Diya Pillai,ME,1,Male,8.14,S7,95.2,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0084,Sreeram Das,IT,3,Male,7.4,S6,68.8,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0085,Arun Kumar,IT,2,Male,7.91,S8,86.1,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0086,Keerthi Joseph,ME,4,Male,8.38,S4,83.6,,Not Placed,0.0,Mechanical Engineering,Dr. Manoj Thomas
S0087,Abhinav Joseph,CSE,2,Female,7.58,S2,78.2,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0088,Fathima Reddy,IT,1,Male,7.61,S5,82.9,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0089,Rahul Nair,CE,1,Male,7.69,S4,83.5,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0090,Akhil Varma,CE,3,Female,7.13,S4,80.7,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0091,Arun Varma,ECE,3,Female,8.39,S1,75.2,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0092,Sreeram Varma,CE,1,Male,7.36,S4,70.8,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0093,Nandana Varma,ECE,1,Male,7.07,S8,88.9,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0094,Neha Das,CSE,3,Male,8.44,S1,83.1,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0095,Rahul Thomas,ME,1,Male,6.64,S5,75.2,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0096,Rohan Das,ME,4,Female,9.16,S7,99.6,EY,Placed,8.54,Mechanical Engineering,Dr. Manoj Thomas
S0097,Akhil Menon,ME,3,Male,8.82,S6,91.9,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0098,Akhil Nair,CE,1,Female,7.91,S6,86.3,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0099,Harish Varma,CSE,1,Male,8.29,S5,92.1,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0100,Athira Menon,CE,4,Male,7.81,S5,61.6,,Not Placed,0.0,Civil Engineering,Dr. Anil Joseph
S0101,Aiswarya Kumar,CE,2,Female,7.11,S8,71.4,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0102,Joel Thomas,CSE,2,Female,8.19,S3,87.5,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0103,Amal Varma,CSE,4,Male,7.21,S7,89.0,Infosys,Placed,4.18,Computer Science and Engineering,Dr. Suresh Nair
S0104,Nandana Kumar,CSE,4,Male,8.35,S5,85.0,Capgemini,Placed,8.06,Computer Science and Engineering,Dr. Suresh Nair
S0105,Vishnu Reddy,CSE,4,Male,8.64,S4,78.9,,Not Placed,0.0,Computer Science and Engineering,Dr. Suresh Nair
S0106,Amal Joseph,ME,3,Female,7.25,S8,69.4,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0107,Keerthi Varma,EEE,2,Female,7.12,S6,83.8,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0108,Arun Kumar,EEE,1,Female,6.63,S2,70.5,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0109,Diya Menon,CSE,3,Female,9.12,S8,89.8,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0110,Vishnu Thomas,EEE,3,Female,7.19,S6,81.9,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0111,Neha Menon,EEE,2,Male,7.44,S1,52.0,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0112,Anjali Reddy,CSE,4,Female,8.19,S8,100.0,Infosys,Placed,4.96,Computer Science and Engineering,Dr. Suresh Nair
S0113,Rahul Varma,EEE,1,Male,7.83,S6,74.2,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0114,Anu Joseph,CE,2,Male,8.1,S3,84.9,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0115,Anjali Nair,ECE,1,Male,7.4,S8,62.5,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0116,Akhil Joseph,ECE,2,Male,6.79,S8,69.7,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0117,Sreeram Joseph,CSE,1,Male,6.9,S7,85.5,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0118,Rahul Joseph,ME,1,Female,7.09,S5,58.4,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0119,Sneha Das,CSE,1,Male,7.19,S7,86.5,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0120,Sneha Sharma,ME,3,Female,7.31,S8,74.7,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0121,Akhil Nair,ECE,3,Male,8.75,S5,91.6,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0122,Vishnu Joseph,CSE,3,Male,7.65,S6,85.5,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0123,Athira Sharma,IT,4,Male,7.55,S2,82.8,,Not Placed,0.0,Information Technology,Dr. Deepa Sharma
S0124,Abhinav Joseph,CE,2,Male,7.49,S2,70.6,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0125,Sneha Varma,EEE,2,Female,7.28,S8,73.7,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0126,Meera Menon,ME,4,Male,7.5,S3,65.3,,Not Placed,0.0,Mechanical Engineering,Dr. Manoj Thomas
S0127,Sneha Das,IT,1,Female,8.28,S1,88.4,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0128,Nandana Thomas,EEE,4,Male,8.31,S6,99.5,Wipro,Placed,9.01,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0129,Keerthi Nair,EEE,1,Female,8.4,S5,68.4,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0130,Rohan Das,CSE,4,Female,9.6,S8,86.3,Wipro,Placed,7.85,Computer Science and Engineering,Dr. Suresh Nair
S0131,Abhinav Joseph,EEE,1,Female,8.06,S6,80.8,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0132,Midhun Menon,CE,4,Male,9.29,S8,92.6,TCS,Placed,8.02,Civil Engineering,Dr. Anil Joseph
S0133,Anjali Reddy,IT,2,Male,7.23,S3,84.5,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0134,Meera Nair,EEE,4,Male,9.27,S4,89.5,Wipro,Placed,9.77,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0135,Rahul Kumar,CSE,1,Female,7.65,S4,76.7,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0136,Aiswarya Das,CE,3,Male,7.27,S3,86.8,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0137,Sreeram Sharma,ECE,4,Male,7.6,S5,85.2,,Not Placed,0.0,Electronics and Communication Engineering,Dr. Priya Menon
S0138,Vishnu Reddy,IT,2,Female,7.68,S7,84.6,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0139,Amal Sharma,EEE,3,Male,7.67,S3,80.7,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0140,Joel Kumar,CSE,3,Female,7.49,S8,87.3,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0141,Nikhil Reddy,ECE,2,Male,8.36,S5,78.6,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0142,Joel Das,ECE,3,Male,7.26,S2,69.7,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0143,Midhun Das,ME,3,Female,8.07,S3,89.2,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0144,Sanjay Sharma,CE,4,Male,8.72,S5,72.4,UST,Placed,5.95,Civil Engineering,Dr. Anil Joseph
S0145,Sanjay Kumar,EEE,1,Female,7.31,S3,78.0,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0146,Vishnu Pillai,CSE,2,Male,8.59,S3,83.3,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0147,Aiswarya Reddy,ME,4,Male,8.0,S7,69.3,Infosys,Placed,6.41,Mechanical Engineering,Dr. Manoj Thomas
S0148,Sneha Sharma,CE,4,Female,9.3,S7,82.7,Cognizant,Placed,10.38,Civil Engineering,Dr. Anil Joseph
S0149,Sanjay Thomas,ME,2,Female,7.15,S8,75.1,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0150,Nandana Thomas,IT,3,Female,8.49,S5,94.7,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0151,Fathima Reddy,CE,2,Male,6.2,S5,63.5,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0152,Fathima Reddy,CE,1,Female,7.1,S1,86.6,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0153,Joel Reddy,EEE,2,Male,7.88,S3,81.7,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0154,Sreeram Reddy,CE,2,Male,8.61,S4,98.1,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0155,Anjali Pillai,ME,3,Female,6.57,S3,66.5,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0156,Abhinav Kumar,CE,1,Male,8.13,S3,82.5,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0157,Adithya Das,EEE,4,Female,7.55,S5,82.2,Accenture,Placed,8.6,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0158,Harish Pillai,EEE,4,Male,6.38,S3,69.0,,Not Placed,0.0,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0159,Keerthi Das,IT,3,Male,8.0,S6,90.6,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0160,Amal Reddy,ME,3,Male,8.92,S3,68.6,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0161,Sreeram Nair,ECE,2,Female,6.8,S6,95.4,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0162,Keerthi Das,ECE,4,Female,7.61,S7,87.0,,Not Placed,0.0,Electronics and Communication Engineering,Dr. Priya Menon
S0163,Nikhil Kumar,CE,3,Female,6.71,S4,71.4,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0164,Athira Nair,IT,1,Female,7.48,S8,73.4,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0165,Adithya Kumar,CSE,4,Female,9.1,S5,81.9,TCS,Placed,6.43,Computer Science and Engineering,Dr. Suresh Nair
S0166,Anu Nair,CE,4,Female,7.28,S3,82.8,,Not Placed,0.0,Civil Engineering,Dr. Anil Joseph
S0167,Arun Sharma,IT,4,Male,8.97,S6,97.7,IBM,Placed,7.36,Information Technology,Dr. Deepa Sharma
S0168,Nandana Kumar,ME,3,Male,8.44,S6,83.6,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0169,Sanjay Joseph,ME,3,Male,7.26,S7,86.8,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0170,Sneha Menon,ME,2,Female,7.15,S6,67.9,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0171,Amal Reddy,ME,4,Female,6.83,S8,64.1,UST,Placed,4.81,Mechanical Engineering,Dr. Manoj Thomas
S0172,Fathima Varma,ME,4,Male,6.81,S2,90.0,Deloitte,Placed,7.87,Mechanical Engineering,Dr. Manoj Thomas
S0173,Sreeram Nair,IT,1,Female,8.13,S1,88.2,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0174,Anu Sharma,IT,1,Female,7.83,S8,93.4,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0175,Nandana Nair,EEE,2,Male,7.1,S4,68.0,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0176,Anu Reddy,ECE,4,Female,6.46,S8,62.9,IBM,Placed,4.79,Electronics and Communication Engineering,Dr. Priya Menon
S0177,Sanjay Sharma,ME,4,Female,7.63,S7,76.2,,Not Placed,0.0,Mechanical Engineering,Dr. Manoj Thomas
S0178,Fathima Kumar,CSE,1,Male,7.57,S7,71.6,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0179,Neha Sharma,IT,3,Female,7.69,S8,86.2,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0180,Joel Menon,CSE,2,Male,8.19,S3,76.6,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0181,Meera Reddy,CSE,4,Female,5.95,S2,57.1,Deloitte,Placed,5.05,Computer Science and Engineering,Dr. Suresh Nair
S0182,Akhil Reddy,CSE,4,Female,6.72,S3,74.3,IBM,Placed,8.65,Computer Science and Engineering,Dr. Suresh Nair
S0183,Amal Das,EEE,4,Female,9.44,S3,80.5,UST,Placed,10.23,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0184,Anjali Joseph,IT,2,Male,7.44,S8,61.9,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0185,Arun Das,CSE,2,Female,5.94,S5,68.8,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0186,Anu Varma,ME,2,Female,6.39,S5,55.0,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0187,Anjali Kumar,CE,1,Male,9.49,S5,99.4,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0188,Akhil Varma,CSE,4,Female,7.39,S2,65.2,,Not Placed,0.0,Computer Science and Engineering,Dr. Suresh Nair
S0189,Amal Das,EEE,4,Male,8.53,S3,65.5,,Not Placed,0.0,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0190,Aiswarya Kumar,IT,4,Female,7.95,S1,79.0,,Not Placed,0.0,Information Technology,Dr. Deepa Sharma
S0191,Rahul Joseph,EEE,4,Male,7.21,S4,77.8,,Not Placed,0.0,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0192,Vishnu Joseph,CSE,3,Male,8.57,S5,90.4,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0193,Anjali Thomas,IT,3,Male,5.94,S5,69.1,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0194,Anjali Nair,CE,4,Female,6.35,S7,60.9,,Not Placed,0.0,Civil Engineering,Dr. Anil Joseph
S0195,Anu Thomas,CSE,4,Male,7.56,S3,85.3,,Not Placed,0.0,Computer Science and Engineering,Dr. Suresh Nair
S0196,Vishnu Reddy,EEE,1,Female,6.53,S3,80.4,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0197,Anu Thomas,ECE,2,Male,7.24,S2,65.8,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0198,Akhil Nair,ME,1,Male,8.23,S2,82.0,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0199,Athira Nair,EEE,4,Male,7.71,S5,77.5,Capgemini,Placed,3.83,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0200,Akhil Kumar,IT,3,Female,8.91,S3,90.4,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0201,Anu Nair,CSE,1,Male,8.11,S1,80.9,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0202,Athira Das,ME,3,Female,8.34,S4,83.8,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0203,Anjali Thomas,CSE,3,Female,7.9,S8,87.1,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0204,Vishnu Reddy,IT,2,Female,7.38,S3,67.6,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0205,Meera Joseph,CSE,1,Male,9.13,S7,96.5,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0206,Aiswarya Varma,ECE,3,Male,7.13,S8,86.2,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0207,Athira Reddy,ME,2,Female,7.83,S3,95.5,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0208,Sreeram Sharma,ME,3,Male,8.17,S6,63.9,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0209,Abhinav Kumar,IT,2,Female,8.52,S2,84.0,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0210,Abhinav Pillai,ECE,4,Male,6.77,S7,55.7,,Not Placed,0.0,Electronics and Communication Engineering,Dr. Priya Menon
S0211,Midhun Menon,EEE,3,Female,8.44,S4,63.2,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0212,Abhinav Sharma,CSE,3,Female,7.17,S5,77.5,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0213,Keerthi Pillai,CE,4,Female,8.15,S7,79.5,,Not Placed,0.0,Civil Engineering,Dr. Anil Joseph
S0214,Sanjay Joseph,CSE,2,Male,8.38,S3,87.4,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0215,Midhun Pillai,CSE,1,Female,8.6,S5,90.6,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
